Date,Research Firm,Action,From,To,Ticker
2002-12-03,Morgan Stanley,Upgrade,Equal-weight,Overweight,MRK
2002-12-03,Merrill Lynch,Upgrade,Sell,Neutral,MRK
2002-12-03,Merrill Lynch,Downgrade,Buy,Sell,MRK
2002-10-28,Banc of America Sec,Upgrade,Mkt Perform,Buy,MRK
2002-10-21,UBS Warburg,Downgrade,Buy,Hold,MRK
2002-10-09,Raymond James,Downgrade,Strong Buy,Mkt Perform,MRK
2002-09-13,SunTrust Rbsn Humphrey,Initiated,,Neutral,MRK
2002-08-22,Thomas Weisel,Initiated,,Mkt Perform,MRK
2002-07-08,Merrill Lynch,Downgrade,LT Buy,LT Neutral,MRK
2002-06-11,Lehman Brothers,Downgrade,Strong Buy,Buy,MRK
2002-04-12,Gerard Klauer Mattison,Upgrade,Neutral,Buy,MRK
2002-04-09,Fulcrum,Initiated,,Sell,MRK
2002-03-20,Gruntal & Co,Upgrade,NT Mkt Performer,NT Mkt Outperformer,MRK
2002-03-15,Goldman Sachs,Downgrade,Recomm List,Mkt Outperform,MRK
2002-03-05,Gerard Klauer Mattison,Initiated,,Neutral,MRK
2002-01-03,SG Cowen,Downgrade,Buy,Neutral,MRK
2001-12-12,ABN AMRO,Downgrade,Buy,Add,MRK
2001-12-12,CSFB,Downgrade,Buy,Hold,MRK
2001-07-18,Dain Rauscher Wessels,Upgrade,Neutral,Buy,MRK
2001-06-25,Deutsche Bc Alex. Br,Downgrade,Buy,Mkt Perform,MRK
2001-06-22,CIBC Wrld Mkts,Downgrade,Buy,Hold,MRK
2001-06-22,Deutsche Bc Alex. Br,Downgrade,Buy,Mkt Perform,MRK
2001-06-22,Tucker Anthny Sutro,Downgrade,Buy,Mkt Perform,MRK
2001-06-13,ABN AMRO,Initiated,,Buy,MRK
2001-05-23,Prudential,Initiated,,Hold,MRK
2001-04-23,Raymond James,Upgrade,Mkt Perform,Strong Buy,MRK
2001-04-20,Merrill Lynch,Downgrade,NT Accum,NT Neutral,MRK
2001-01-24,SG Cowen,Upgrade,Buy,Strong Buy,MRK
2001-01-23,Merrill Lynch,Downgrade,NT Buy,NT Accum,MRK
2000-12-13,Salomon Smth Brny,Downgrade,Outperform,Neutral,MRK
2000-11-30,CSFB,Initiated,,Buy,MRK
2000-11-29,Goldman Sachs,Initiated,,Recomm List,MRK
2000-11-08,Lehman Brothers,Upgrade,Outperform,Buy,MRK
2000-10-30,AG Edwards,Downgrade,Accumulate,Maintain Position,MRK
2000-10-23,Salomon Smth Brny,Upgrade,Neutral,Outperform,MRK
2000-10-20,Merrill Lynch,Upgrade,NT Accum,NT Buy,MRK
2000-09-05,Banc of America Sec,Downgrade,Strong Buy,Market Perform,MRK
2000-07-25,Sutro & Co,Upgrade,Hold,Accumulate,MRK
2000-07-18,ING Barings,Initiated,,Hold,MRK
2000-05-04,Robertson Stephens,Initiated,,Mkt Performer,MRK
2000-04-17,DLJ,Downgrade,Top Pick,Buy,MRK
2000-03-09,Banc of America Sec,Upgrade,Buy,Strong Buy,MRK
2000-02-10,Sutro & Co,Downgrade,Buy,Hold,MRK
1999-12-08,Dain Rauscher Wessels,Initiated,,Buy,MRK
1999-12-02,Wasserstein Perella,Initiated,,Hold,MRK
1999-11-24,Banc of America Sec,Upgrade,Market Perform,Buy,MRK
1999-10-12,Deutsche Bc Alex. Br,Initiated,,Buy,MRK
1999-09-30,Schroder & Co,Initiated,,Outperform,MRK
1999-09-22,Goldman Sachs,Initiated,,Recommended List,MRK
1999-08-05,Brown Brothers,Upgrade,Avoid,ST Neutral,MRK
1999-04-16,Mrgn Stnly Dn Wttr,Upgrade,Neutral,Outperform,MRK
1999-04-13,Mrgn Stnly Dn Wttr,Initiated,,Neutral,MRK
1999-02-02,PaineWebber,Upgrade,Neutral,Attractive,MRK
1999-01-27,BT Alex. Brown,Upgrade,Buy,Strong Buy,MRK
1999-01-25,CIBC Oppenheimer,Downgrade,Strong Buy,Buy,MRK
1998-12-10,Gruntal & Co,Upgrade,Buy,Strong Buy,MRK
1998-12-10,Deutsche Bank,Downgrade,Buy,Accumulate,MRK
1998-12-10,Warburg Dlln Rd,Downgrade,Buy,Hold,MRK
1998-10-20,Vector Securities,Downgrade,Attractive,Neutral,MRK
1998-07-22,Gruntal & Co,Downgrade,Strong Buy,Buy,MRK
1998-07-22,ABN-AMRO,Downgrade,Buy,Hold,MRK
1998-07-01,Schroder & Co,Downgrade,Outperform,Perform In Line,MRK
1998-02-25,ABN/Amro,Initiated,,Buy,MRK
2015-01-27,MKM Partners,Downgrade,Buy,Neutral,MSFT
2014-10-09,BMO Capital Markets,Initiated,,Market Perform,MSFT
2014-06-05,FBR Capital,Upgrade,Mkt Perform,Outperform,MSFT
2014-01-23,Deutsche Bank,Upgrade,Hold,Buy,MSFT
2014-01-10,Barclays,Upgrade,Equal Weight,Overweight,MSFT
2013-08-13,Stifel,Downgrade,Buy,Hold,MSFT
2013-04-30,Standpoint Research,Downgrade,Buy,Hold,MSFT
2013-01-04,Argus,Downgrade,Buy,Hold,MSFT
2012-12-14,BMO Capital Markets,Initiated,,Market Perform,MSFT
2012-12-12,Standpoint Research,Upgrade,Hold,Buy,MSFT
2012-08-20,Longbow,Initiated,,Buy,MSFT
2012-07-20,Griffin Securities,Initiated,,Buy,MSFT
2012-04-10,MKM Partners,Initiated,,Neutral,MSFT
2012-03-16,Argus,Upgrade,Hold,Buy,MSFT
2011-12-06,Barclays Capital,Initiated,,Equal Weight,MSFT
2011-09-09,Standpoint Research,Downgrade,Buy,Hold,MSFT
2011-02-17,Collins Stewart,Initiated,,Buy,MSFT
2011-01-07,Standpoint Research,Downgrade,Buy,Hold,MSFT
2010-10-25,FBR Capital,Downgrade,Outperform,Mkt Perform,MSFT
