Date,Open,High,Low,Close,Volume,Adj Close
2008-03-20,5237.30,5242.50,5127.50,5127.50,000,5127.50
2008-03-19,5134.10,5289.10,5134.10,5289.10,000,5289.10
2008-03-18,5070.90,5117.30,5059.40,5086.10,000,5086.10
2008-03-17,5180.90,5183.60,5039.60,5087.00,000,5087.00
2008-03-14,5158.00,5219.40,5157.50,5206.90,000,5206.90
2008-03-13,5261.00,5264.50,5121.00,5135.90,000,5135.90
2008-03-12,5190.80,5369.70,5190.80,5257.90,000,5257.90
2008-03-11,5143.60,5145.30,5082.10,5134.20,000,5134.20
2008-03-10,5237.00,5237.00,5145.80,5180.40,000,5180.40
2008-03-07,5411.70,5411.70,5240.30,5264.00,000,5264.00
2008-03-06,5400.20,5454.00,5370.60,5435.50,000,5435.50
2008-03-05,5392.10,5461.30,5344.70,5376.60,000,5376.60
2008-03-04,5410.30,5437.80,5347.50,5380.30,000,5380.30
2008-03-03,5534.30,5535.20,5393.90,5405.80,000,5405.80
2008-02-29,5647.90,5649.30,5515.60,5572.10,000,5572.10
2008-02-28,5759.70,5759.70,5625.50,5651.20,000,5651.20
2008-02-27,5682.30,5769.80,5682.30,5767.20,000,5767.20
2008-02-26,5627.70,5689.00,5627.10,5666.10,000,5666.10
2008-02-25,5571.50,5640.50,5568.50,5621.60,000,5621.60
2008-02-22,5574.40,5578.30,5490.40,5559.90,000,5559.90
2008-02-21,5517.80,5600.90,5497.80,5583.40,000,5583.40
2008-02-20,5623.70,5630.70,5496.50,5496.50,000,5496.50
2008-02-19,5583.70,5650.30,5582.90,5619.10,000,5619.10
2008-02-18,5581.30,5587.60,5547.40,5558.40,000,5558.40
2008-02-15,5658.60,5658.60,5544.60,5606.60,000,5606.60
2008-02-14,5566.00,5690.50,5565.60,5684.80,000,5684.80
2008-02-13,5620.80,5654.90,5541.50,5542.10,000,5542.10
2008-02-12,5553.10,5619.30,5516.10,5608.10,000,5608.10
2008-02-11,5663.80,5665.30,5513.20,5537.60,000,5537.60
2008-02-08,5608.10,5704.30,5606.50,5658.00,000,5658.00
2008-02-07,5606.80,5613.00,5508.70,5596.70,000,5596.70
2008-02-06,5770.40,5771.10,5609.40,5609.40,000,5609.40
2008-02-05,5867.00,5888.20,5787.70,5792.90,000,5792.90
2008-02-04,5854.40,6022.00,5829.40,5867.40,000,5867.40
2008-02-01,5672.60,5848.70,5669.10,5842.90,000,5842.90
2008-01-31,5608.90,5655.50,5448.50,5650.30,000,5650.30
2008-01-30,5746.10,5837.70,5614.50,5618.70,000,5618.70
2008-01-29,5862.10,5862.10,5698.40,5716.50,000,5716.50
2008-01-25,5608.10,5860.30,5608.10,5860.30,000,5860.30
2008-01-24,5450.10,5580.40,5447.50,5580.40,000,5580.40
2008-01-23,5230.70,5540.70,5230.70,5412.30,000,5412.30
2008-01-22,5515.30,5515.30,5186.80,5186.80,000,5186.80
2008-01-21,5736.20,5737.90,5580.40,5580.40,000,5580.40
2008-01-18,5736.10,5766.40,5619.30,5747.30,000,5747.30
2008-01-17,5817.00,5849.30,5788.50,5796.10,000,5796.10
2008-01-16,5944.00,5960.00,5787.20,5809.70,000,5809.70
2008-01-15,5980.80,6042.00,5942.40,5960.00,000,5960.00
2008-01-14,5967.40,6015.50,5904.30,5980.00,000,5980.00
2008-01-11,6086.70,6096.90,5981.60,5981.60,000,5981.60
2008-01-10,6087.20,6105.00,6049.70,6078.70,000,6078.70
2008-01-09,6115.70,6115.70,6035.80,6087.70,000,6087.70
2008-01-08,6152.20,6185.30,6115.00,6128.10,000,6128.10
2008-01-07,6276.40,6276.40,6148.10,6161.60,000,6161.60
2008-01-04,6308.30,6343.90,6274.70,6306.80,000,6306.80
2008-01-03,6341.60,6341.60,6251.40,6290.70,000,6290.70
2008-01-02,6336.60,6385.70,6326.70,6353.20,000,6353.20
2007-12-31,6342.00,6355.70,6318.20,6339.80,000,6339.80
2007-12-28,6333.50,6339.90,6294.80,6339.90,000,6339.90
2007-12-27,6339.10,6366.50,6338.60,6350.90,000,6350.90
2007-12-24,6272.50,6344.40,6271.40,6323.60,000,6323.60
2007-12-21,6183.80,6285.60,6183.60,6247.00,000,6247.00
2007-12-20,6225.50,6236.80,6176.90,6176.90,000,6176.90
